Problem,Algorithm,IGD_mean,IGD_std,FEs_mean,FEs_std
ZDT1,NSGA-III,1.213407e-01,4.076756e-02,1500,0
ZDT1,NSHA-Base,6.041501e-02,4.936017e-02,1546,19
ZDT1,NSHA+Nadir,5.170884e-02,3.527801e-02,1544,21
ZDT1,NSHA+Theta,1.769617e-01,4.153755e-02,1519,7
ZDT1,NSHA+Inject,1.271592e-01,1.007425e-01,1670,91
ZDT1,NSHA+All,1.590727e-01,1.744373e-01,1514,11
ZDT2,NSGA-III,2.848153e-01,5.255239e-02,1500,0
ZDT2,NSHA-Base,4.105129e-01,1.386126e-01,1487,4
ZDT2,NSHA+Nadir,2.641528e-01,2.466553e-01,1528,27
ZDT2,NSHA+Theta,3.654996e-02,5.108579e-03,1511,7
ZDT2,NSHA+Inject,4.921757e-01,1.644242e-01,2349,147
ZDT2,NSHA+All,9.935992e-03,1.159437e-03,1793,104
ZDT3,NSGA-III,1.019998e-01,7.170739e-03,1500,0
ZDT3,NSHA-Base,2.311204e-01,1.405969e-01,1544,11
ZDT3,NSHA+Nadir,2.324079e-01,1.670618e-01,1565,7
ZDT3,NSHA+Theta,2.174923e-01,1.984696e-01,1560,19
ZDT3,NSHA+Inject,2.370691e-01,1.428315e-01,1672,109
ZDT3,NSHA+All,1.233286e-01,7.702728e-02,1607,33
ZDT4,NSGA-III,1.536063e+01,2.276903e+00,1500,0
ZDT4,NSHA-Base,5.257010e+00,1.112885e+00,1533,3
ZDT4,NSHA+Nadir,4.517059e+00,4.547089e-01,1542,3
ZDT4,NSHA+Theta,5.257010e+00,1.112885e+00,1533,4
ZDT4,NSHA+Inject,6.825691e+00,2.232438e+00,1966,50
ZDT4,NSHA+All,8.361374e+00,1.967647e+00,1935,160
ZDT6,NSGA-III,3.737581e+00,2.296554e-01,1500,0
ZDT6,NSHA-Base,1.924801e+00,2.482370e+00,1549,16
ZDT6,NSHA+Nadir,2.527564e+00,1.648932e+00,1555,7
ZDT6,NSHA+Theta,3.570576e-02,1.600071e-02,1523,13
ZDT6,NSHA+Inject,4.563857e-01,1.771160e-01,2141,59
ZDT6,NSHA+All,3.521993e-02,1.021169e-02,2167,70
