problem,seed,generation,fes,volume,constraint_size,best_x
QuickSimu2,2026,1,50,0.07346660719074917,3.422538148494218e-07,"[0.2330854001404865, 0.6167932389892061]"
QuickSimu2,2026,2,95,0.07315355290526296,1.8978220055921405e-07,"[0.22923901109682304, 0.6255900413579834]"
QuickSimu2,2026,3,140,0.07315355290526296,1.8978220055921405e-07,"[0.22923901109682304, 0.6255900413579834]"
QuickSimu2,2026,4,185,0.06341737366901973,2.848792905889486e-07,"[0.24944915779346483, 0.2]"
QuickSimu2,2026,5,235,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,6,280,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,7,324,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,8,367,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,9,407,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,10,449,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,11,488,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,12,524,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,13,558,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,14,595,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,15,635,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,16,668,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,17,706,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,18,745,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,19,788,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,20,827,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,21,863,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,22,899,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,23,936,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,24,971,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,25,1009,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,26,1047,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,27,1086,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,28,1122,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,29,1157,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2026,30,1193,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
