problem,seed,generation,fes,volume,constraint_size,best_x
QuickSimu2,2028,1,50,0.062398369323986236,2.673884280366688e-07,"[0.21598869741028168, 0.33333549041479904]"
QuickSimu2,2028,2,95,0.05831134638424315,3.76701961831315e-07,"[0.21540897589495425, 0.2]"
QuickSimu2,2028,3,140,0.05831134638424315,3.76701961831315e-07,"[0.21540897589495425, 0.2]"
QuickSimu2,2028,4,184,0.056017191157021806,5.11603511598029e-07,"[0.2, 0.200573038567393]"
QuickSimu2,2028,5,232,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,6,274,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,7,318,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,8,360,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,9,400,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,10,441,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,11,483,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,12,520,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,13,557,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,14,586,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,15,618,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,16,653,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,17,691,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,18,730,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,19,771,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,20,812,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,21,855,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,22,896,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,23,933,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,24,966,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,25,1002,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,26,1039,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,27,1076,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,28,1114,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,29,1153,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2028,30,1192,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
