problem,seed,generation,fes,volume,constraint_size,best_x
QuickSimu2,2027,1,50,0.07388821382238468,2.9222904970620325e-07,"[0.21120764456807412, 0.7402355712391187]"
QuickSimu2,2027,2,95,0.05978763015348135,3.3188840653854035e-07,"[0.21403991033769246, 0.2560547867609156]"
QuickSimu2,2027,3,140,0.05692502320319684,4.021184959945137e-07,"[0.2006280944477503, 0.22769363453447622]"
QuickSimu2,2027,4,185,0.05692502320319684,4.021184959945137e-07,"[0.2006280944477503, 0.22769363453447622]"
QuickSimu2,2027,5,235,0.056545753452067235,4.534869710363704e-07,"[0.20363835634711483, 0.2]"
QuickSimu2,2027,6,282,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,7,327,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,8,368,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,9,410,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,10,451,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,11,489,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,12,525,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,13,562,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,14,602,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,15,640,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,16,677,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,17,714,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,18,756,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,19,795,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,20,828,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,21,855,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,22,884,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,23,918,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,24,959,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,25,999,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,26,1039,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,27,1078,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,28,1115,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,29,1147,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
QuickSimu2,2027,30,1189,0.05600000000000001,5.726511139803128e-07,"[0.2, 0.2]"
