generation,fes_mean,best_f_mean,x1_mean,x2_mean,x3_mean,x4_mean,x5_mean,x6_mean,x7_mean,x8_mean,x9_mean,x10_mean
1,100.0,0.07421416861851418,1.5509777893251073,1.2198124284368486,1.5879334325495744,0.9321949160495754,1.9995220464043615,1.219298773959728,1.3533301689571888,1.814137394371479,1.464978197395775,1.393737369947118
2,268.2,0.0007528760587367166,1.1463386082495364,0.22804673608990642,0.6100095413364311,1.7041317006063508,1.2306194420444239,1.6317830505777604,2.276250952375635,2.677437262725497,1.8884677169197743,0.932242413319454
3,440.8,2.724467054894038e-05,0.9375101060456327,0.8601507253245734,1.338364547691872,1.431611247137517,1.3143324999907844,2.0823411527639197,1.5086141539195776,2.6812624835844625,2.025445535213341,0.862276138501939
4,607.0,2.1785090650459706e-05,0.9375101059710917,0.8601679025378776,1.3390557241094054,1.4316074234527896,1.3142872290778063,2.0823000846560626,1.5088987643897294,2.681261587306776,2.0246450482947593,0.8622659168481375
5,771.0,1.8333181005450465e-05,0.937510105896483,0.8601846007531659,1.3395263062995935,1.4316036243494454,1.314256953101127,2.082261091921173,1.50914871760776,2.681260701282017,2.0239894358009387,0.8622557264794134
6,869.0,1.6913110108312275e-05,0.9592859699934093,0.7122492800493412,0.7239931600143242,1.7513528617009748,1.5833452936658905,1.5645772649526397,1.4278790282565623,2.3279314726367275,2.01662836090638,1.3300049661244682
7,967.0,1.6913110108312275e-05,0.9592859699934093,0.7122492800493412,0.7239931600143242,1.7513528617009748,1.5833452936658905,1.5645772649526397,1.4278790282565623,2.3279314726367275,2.01662836090638,1.3300049661244682
8,1065.0,4.079660593737688e-06,0.4880376688746416,0.7232339449143721,0.2365898281939321,1.3605419076699903,1.5833453046222956,1.2941985703181005,1.4278790282565623,1.8741195612747468,1.9778201524793082,1.530004985402396
9,1163.0,4.079660593737688e-06,0.4880376688746416,0.7232339449143721,0.2365898281939321,1.3605419076699903,1.5833453046222956,1.2941985703181005,1.4278790282565623,1.8741195612747468,1.9778201524793082,1.530004985402396
10,1260.8,4.079660593737688e-06,0.4880376688746416,0.7232339449143721,0.2365898281939321,1.3605419076699903,1.5833453046222956,1.2941985703181005,1.4278790282565623,1.8741195612747468,1.9778201524793082,1.530004985402396
11,1358.6,3.4730576769718285e-06,0.4880376688746416,0.3170440190246377,0.2282475743661843,0.7589875368516666,1.0600813680419698,1.6810697930977134,1.4255352782565622,1.867869561274747,1.977368727373867,1.530004985402396
12,1456.4,3.4730576769718285e-06,0.4880376688746416,0.3170440190246377,0.2282475743661843,0.7589875368516666,1.0600813680419698,1.6810697930977134,1.4255352782565622,1.867869561274747,1.977368727373867,1.530004985402396
13,1554.4,2.227691142540856e-06,1.0095430021882847,0.2431924904619537,0.21649042419689443,0.7925040432191677,1.26448826823577,1.3343165560465764,1.8275097032375747,1.3693370840705805,1.9259942130372838,1.61252025310386
14,1652.4,1.3909061013760914e-06,0.9927882029375301,0.1651407838512217,0.1457471317076065,0.8094220564349728,1.0301744067971526,1.3938353595791786,2.4087813382883914,0.7719334859639568,1.9652672465212309,2.2074798759694554
