Problem,Algorithm,IGD_mean,IGD_std,FEs_mean,FEs_std
ZDT1,NSGA-III,1.213407e-01,4.076756e-02,1500,0
ZDT1,HA-Base,6.041501e-02,4.936017e-02,1546,19
ZDT1,HA+Nadir,5.170884e-02,3.527801e-02,1544,21
ZDT1,HA+Theta,1.769617e-01,4.153755e-02,1519,7
ZDT1,HA+Inject,1.271592e-01,1.007425e-01,1670,91
ZDT1,HA+All,1.590727e-01,1.744373e-01,1514,11
ZDT2,NSGA-III,2.848153e-01,5.255239e-02,1500,0
ZDT2,HA-Base,4.105129e-01,1.386126e-01,1487,4
ZDT2,HA+Nadir,2.641528e-01,2.466553e-01,1528,27
ZDT2,HA+Theta,3.654996e-02,5.108579e-03,1511,7
ZDT2,HA+Inject,4.921757e-01,1.644242e-01,2349,147
ZDT2,HA+All,9.935992e-03,1.159437e-03,1793,104
ZDT3,NSGA-III,1.019998e-01,7.170739e-03,1500,0
ZDT3,HA-Base,2.311204e-01,1.405969e-01,1544,11
ZDT3,HA+Nadir,2.324079e-01,1.670618e-01,1565,7
ZDT3,HA+Theta,2.174923e-01,1.984696e-01,1560,19
ZDT3,HA+Inject,2.370691e-01,1.428315e-01,1672,109
ZDT3,HA+All,1.233286e-01,7.702728e-02,1607,33
