generation,fes_mean,best_f_mean,x1_mean,x2_mean,x3_mean,x4_mean,x5_mean,x6_mean,x7_mean,x8_mean,x9_mean,x10_mean
1,100.0,111.01009960277113,-24.0396775256835,-30.48346587601469,76.77542169139488,24.598934813609002,107.67923975422647,-6.714540778070932,-27.260143598356837,18.531311958344485,-37.71648803702553,12.17789315166345
2,200.0,87.76470435222751,-4.998488510189971,-47.45094103259714,33.21397034114928,13.913056763817497,5.065088308157268,46.461282251582226,28.82034776502614,61.53059247977532,0.01472017868489767,-51.6440087075466
3,300.0,63.201410279228895,-8.517733426107453,-12.180016269330388,1.4060651566620928,9.688017437189407,-50.810790811738734,-6.626037629539807,15.409330054866954,-7.675064912692261,-24.653418723729352,-20.68158759578859
4,400.0,48.21248602383333,-34.06766972445264,-21.220208771029245,17.43495694384828,16.53686096645418,-25.4562681820229,14.422520351426662,19.296682528178273,10.509588283653953,-0.4344313783334049,-29.763508499751893
5,500.0,39.12968007274683,-24.657621906293592,-18.235118381999982,7.198059609328183,5.486554313648386,-2.9313045054461857,30.007436613604064,-29.62940966494477,-14.583174476926594,-7.105467297268295,-29.437119840969633
6,600.0,29.097659761408423,27.107981368243053,-24.100253918444796,30.767575126900525,-15.081880474726905,-36.983712317303336,36.39829784133735,-15.504913158912181,11.341272754624693,-20.005988235160114,-49.05183476270595
7,700.0,22.418585945201627,9.894036656471028,-25.56315498429792,11.688239238288952,-36.3001585674261,-36.18018736061512,31.537060360853904,0.9226268310130489,-19.343258698339394,-13.79962964056553,-17.24758224793563
8,800.0,17.906823657548614,-12.474732960590382,-0.5580442504518464,-6.351758865198637,-21.522609606458573,-21.108141284627695,6.1999362437841326,12.106994753575199,-15.096691735504226,-27.10833989244945,-2.675689060650854
9,900.0,13.897348735445139,-13.781816481242632,0.27490023128527974,-2.5523757980631165,-5.859622470212924,-9.60431779712379,6.073463694566013,-3.290068912730116,-14.4912111635661,-10.121607118687269,2.6066098100084805
10,1000.0,10.979686000479498,5.827690340037727,5.361314015448766,29.706733456085043,-8.474201878451185,-22.042921808349572,20.677143212440868,19.98861146882366,-6.936224957207993,1.305211535693393,5.3733365641014705
11,1100.0,8.815136009330782,-3.5903868193043706,-2.1506848179630556,10.774376590879426,11.989335350867476,-3.3658757270897848,6.519558594619279,16.58492278410919,-9.999686312777918,-2.514376851332133,1.8194820310336974
12,1200.0,7.399338786786029,-10.777767943777175,-12.35179205124289,12.008068652496963,-5.523175196750833,-9.855622105202588,-1.7599083987312187,12.89807323980971,-3.6940636009140424,2.838180869409736,1.1277669812104842
13,1300.0,5.670956653549593,2.837933251839515,0.5530389984455655,5.90538694019022,3.2165772372904238,-12.277167488166276,3.511336350666432,6.940131323922117,-7.551795092488392,-3.559854873491533,-2.0629912695337893
