generation,fes_mean,best_f_mean,x1_mean,x2_mean,x3_mean,x4_mean,x5_mean,x6_mean,x7_mean,x8_mean,x9_mean,x10_mean
1,100.0,4.397358082160376,15.163293012956869,6.708829406472834,-0.2346125407807951,-13.347935436040654,1.6332415316203501,-12.336994496333713,-9.434368394389848,-17.78150240499282,-11.587939522358964,-16.414016405867738
2,195.0,4.112477881118736,1.0434509270485472,-3.470744326866135,1.041450951621723,4.132350925993536,-3.208016204346351,-14.399219587109947,0.5628589298667805,-2.3089230224804504,1.5461827179237155,7.374271185951548
3,290.0,3.923073570504278,-7.108207446317923,-7.301253333704111,-2.2834265574231765,11.16157696520754,5.66989287636731,-10.971475668915053,-2.2768687272724017,5.344980279297146,6.098967453968616,1.6424840373348923
4,385.0,3.757028334391211,-4.858654632635242,-1.2634954572111705,-5.34613185939453,-0.6404892099616709,-8.104482857816972,2.1124835033515703,-3.5585505262654644,-1.352855586076546,2.0506585340526824,2.082064252373741
5,526.8333333333334,3.0890524363287373,0.3607072364383647,-0.21172474799351207,-6.019798013458143,0.24772750449475764,-3.7072086101354738,1.3642226705550484,-7.734487748572352,-0.40009237644555223,0.6616622172422727,0.6396444275723013
6,621.8333333333334,2.9989926391785002,2.2011832189896996,-0.7843195116241707,-0.8991840151917548,3.2771474536176854,-1.7722592651734221,-1.0763339699671022,-2.449215237454657,-2.3730997129362206,-1.9225742639293981,-1.3347667964863716
7,716.8333333333334,2.890413496789684,-4.395581802530126,-3.386131619589478,2.225176514204313,0.9420519410097054,-6.797230111651027,-1.694707241643932,-3.3978831568725556,-3.4719223161244974,2.0459155506245588,-0.3254617342299452
8,811.8333333333334,2.8308695404070905,-2.5966663492913784,-5.729583001741944,0.6948775034407509,2.0620685983271985,-8.870863290306517,-1.602337234343263,-4.126393683098285,-1.220947848652184,3.9615178621527125,2.1890566627679053
9,950.0666666666667,2.751193021876365,-3.1210342275898544,-4.207961347954463,0.08778193894601631,2.626566798249438,-7.595086105759637,-1.2495921056588564,-4.9118796673776055,-0.29217108366797057,3.0788153846633937,1.944668711521344
10,1098.5,2.30580504282954,-3.730304371637674,-4.380830455232088,0.7402935795911577,2.201798930938384,-6.923859953291217,-1.006697616813583,-3.985533742752298,-0.26139743523920866,4.006000730915379,1.8885600338090582
11,1193.5,2.3047311582877357,-3.4898985619902967,-3.8646095275287253,0.3975549679994991,0.457293129972328,-7.351005262677273,-1.1479022687718214,-3.962297508270767,-0.3822757726990018,3.0568067026188586,0.6073533831842526
12,1288.5,2.2809692637280228,-4.187989913999265,-2.7153970800205216,1.5810100274115055,0.8867624200074009,-6.4848532979441655,1.8782730749653243,-3.1355629519649444,3.1472176990351812,1.2986664487551611,-0.258771654004751
13,1383.5,2.2613261372798457,-2.797141566745147,-3.110006791363637,1.8042462484474235,0.7137088652312691,-6.72657027028427,2.0226667902596085,-3.7688966666852695,4.116258407795931,1.3189017891029546,-0.3222013947458448
14,1579.7333333333333,2.189833516672693,-3.1704080930172704,-3.8680649361239383,2.1506430241010017,0.714171643452355,-6.926887009582591,1.2946639086899483,-4.100045392126301,5.629513516323745,2.575355588217913,0.20221720643639687
15,1724.8666666666666,2.0205518499352584,-2.3164168372250153,-2.605690803962552,2.417384529805179,0.9318746371453134,-6.560839739266933,1.1398393909368252,-4.41503426894539,5.204651406783983,2.4131354741412614,-0.21133973835110254
16,1819.8666666666666,2.01105622589534,-1.777754124512083,-2.6184993054927124,2.0820256782410116,0.9337867250071127,-4.911772079704816,1.7522601624107224,-4.386116451614867,4.988468447603146,2.3404280689667485,-0.21031272957694178
17,1914.8666666666666,1.9871029848714843,-1.3805947902956974,-2.8453196037471873,1.472145183357415,0.7247497235612865,-5.420550982813383,1.859359064889053,-4.246026662620256,4.726322457169931,2.5850114990245827,0.1916061710257493
18,2009.8666666666666,1.9713163944633292,-1.1484731645701254,-1.605453515693941,1.5635283162992772,-0.20896071885397033,-4.334313905637703,1.7320629635823062,-4.299147265398003,4.331229422321472,0.6760548071880149,-0.062453350023965314
19,2206.5,1.8915143126233152,1.1386593530344287,-1.9366569216252965,1.8159866991863973,1.688852800080725,-3.263993187073124,1.6624510733995979,-4.613170403400265,5.761882571911016,0.7776684727361136,-0.12409870764348237
20,2352.366666666667,1.7120172945907857,1.148621735366904,-1.9676452206482755,1.8078248758913928,1.6980413538260957,-3.3159534006779063,1.151464899702655,-4.581223684764782,6.9150967394350085,0.7714729373717619,-0.11058634797625826
21,2447.766666666667,1.7112251553786153,1.1467320590280186,-1.9721514774292213,1.8055129318281482,1.7003151946747754,-3.3107158875695957,1.0214628825254128,-4.583238740974506,6.934160438968328,0.788997556506559,-0.09322584320358702
22,2543.1666666666665,1.7022219115252262,0.8945353349164141,-1.7045538129089974,2.849427300537447,3.260165523764425,-3.196509573920532,0.3702107247110493,-4.4465465017059165,7.170095389156907,0.4961095339385401,0.39611283820306487
23,2638.5666666666666,1.6923279589186642,0.9504308295730662,-1.2688709752033136,2.7704397727288073,2.6119095459740147,-3.4349555355186507,-0.030502918595095886,-4.23829991628474,6.544314247650565,0.06614173461016523,0.21628562881322186
24,2838.5666666666666,1.6283866749259914,1.2087394520189838,-0.40407487689548793,1.7029359640845665,2.53488143397287,-3.2170243692959475,0.2209132560973591,-4.296623732512961,6.222114134908904,-0.2965713611498508,0.19556963942169192
25,2982.9666666666667,1.5710947493689167,1.221586501706198,-0.38326157914534625,1.699412314890565,2.5310863680796314,-3.231167296752774,0.2613138535236773,-4.274383051822024,6.196479181650307,-0.29053159161765635,0.1835290998174238
26,3078.366666666667,1.5710947493689167,1.221586501706198,-0.38326157914534625,1.699412314890565,2.5310863680796314,-3.231167296752774,0.2613138535236773,-4.274383051822024,6.196479181650307,-0.29053159161765635,0.1835290998174238
27,3173.766666666667,1.5689317568515915,1.2216382547109743,-0.3847013452001268,1.7023775160306611,2.5310863680796314,-3.3396237201300187,0.2771904650586906,-4.274081454861114,6.199594938648345,-0.29784260977309446,0.1835290998174238
28,3269.5666666666666,1.5476608812824935,-0.040766786244817395,0.1298252668257714,1.7647990489900829,3.08584747586909,-3.284471150549018,0.18601980489876002,-3.7962879908042177,6.209028441428604,-0.4503369987126647,0.1965991143441621
