generation,fes_mean,best_f_mean,x1_mean,x2_mean,x3_mean,x4_mean,x5_mean,x6_mean,x7_mean,x8_mean,x9_mean,x10_mean
1,100.0,-4.018157548817035,1.9169573024303923,1.5133929921923122,1.5290329089878034,1.6132206969589304,1.7229617039542091,1.252336051947979,1.5857975758455651,1.7026945008437633,1.6176071069221962,1.5375066562080404
2,195.0,-4.650582196651931,1.8935693599069068,1.5148608618152006,1.5743604041559587,1.5176641227612226,1.525831922449504,1.5814871356184965,1.5373029114686572,1.5351165754139766,1.3908118776909233,1.455719221907121
3,290.0,-5.1577607503035585,1.9593327706829686,1.51561253955369,1.4441915957227767,1.4320456148162994,1.5148559716028318,1.457907104903604,1.6662176359963565,1.6551440281217797,1.3668867286312634,1.6630099126821019
4,385.0,-5.674110439555591,1.9465496108491396,1.5615159231188842,1.5181630328031015,1.4983589775328383,1.7391367890714613,1.5549033208049257,1.6083975769373686,1.5091685780722206,1.600089955091794,1.4609356754582463
5,559.8333333333334,-6.950574196288013,1.9521134471706365,1.5467828376480999,1.5294154155342252,1.4805208103055116,1.745884554605174,1.604108281681435,1.6168419994259358,1.4997656902960879,1.5831820437630795,1.4535326547019152
6,654.8333333333334,-7.077132491748313,1.9757360065862248,1.5533425053717227,1.5585695725013513,1.4739098693600998,1.8196161608867112,1.5688188259139857,1.552345052853479,1.4769307620341072,1.5591417902195093,1.526371223599153
7,749.8333333333334,-7.22911676578909,1.9460212172770104,1.5669921604657817,1.5725235964874689,1.484985470416959,1.7248808069721369,1.5387297104689692,1.5620297912500474,1.5658510237776748,1.6149115081784116,1.5299721799534745
8,844.8333333333334,-7.476637312171556,2.025235651090447,1.5767204185553105,1.4767360587429068,1.5237593323601852,1.7815581227125752,1.561108614969447,1.5720466990874242,1.4307206508489445,1.6202631580901425,1.529418243124529
9,987.0333333333333,-7.819275374243172,2.110897251185427,1.5636392660954959,1.4646117709121702,1.4840646388688439,1.6703234149722936,1.5465132823272847,1.6484524017930657,1.4636193299714295,1.5678229549157667,1.5225744593642088
10,1159.3,-8.399780602395138,2.1083894899037925,1.5661512765403756,1.482676569726655,1.4517922058831405,1.696457203505181,1.5550551306885743,1.660548495741906,1.470292289247478,1.5648114620353464,1.5236466966260944
11,1254.3,-8.414909606632971,2.116550974474249,1.5679058113597786,1.510256586510158,1.488360618645785,1.6623983563430025,1.5558062856828687,1.6615885548861407,1.4690619633712145,1.5683905985676883,1.5509576892766896
12,1349.3,-8.46270028130592,2.11484989963115,1.5682126241921577,1.4931194245406672,1.5259506898545387,1.659927487310116,1.533463714857581,1.6088912877427282,1.5006691215199455,1.5026420860928096,1.5502644833357755
13,1444.3,-8.541583803770477,2.1355074246187256,1.5799762604684922,1.4672870337630122,1.4150102422186952,1.6255737915179809,1.5321581234400052,1.6097121842278945,1.432838597155578,1.4857737310614882,1.5582689867766426
14,1618.6333333333334,-8.729023558138406,2.127486592112436,1.5822235374631697,1.5062344585333995,1.439575583514682,1.6003270465033526,1.5699604513209238,1.6107040460536786,1.476621149720214,1.4748654278227413,1.5935155242941452
15,1788.3666666666666,-9.014254704795361,2.1278438208231996,1.5776450113782718,1.4810212036808834,1.3796744948448458,1.6019691679033046,1.556194640126281,1.6055035685535928,1.4725031803129174,1.4870079056052057,1.5502078494794707
16,1883.3666666666666,-9.051292675432036,2.147088668412962,1.5791178438574882,1.4495746808091348,1.3898806364140206,1.6665826089926734,1.5561823584990162,1.6349457829008236,1.5089744053699774,1.5130916590566694,1.560898186968642
17,1978.3666666666666,-9.063081371809908,2.1489483715817808,1.579483981237885,1.447336281755436,1.3831343682778392,1.6663968300375531,1.5561126690745897,1.6088774613733652,1.5093088141267896,1.5127359186136942,1.5611973711935963
18,2073.366666666667,-9.083806871181881,2.1514643077991957,1.5795467853159662,1.4477433689353878,1.3831416969587484,1.6663165022738882,1.5561919120508454,1.6096110891504944,1.5092275026362434,1.5301698454615245,1.511281645099713
19,2266.9333333333334,-9.150621265235417,2.1620472206056265,1.5734823495345447,1.4426092495484875,1.3857211260069733,1.6649408110620998,1.5547307415414884,1.5954383381532684,1.5085496971862211,1.5538889251464754,1.5112200574064762
20,2435.1666666666665,-9.227710177986664,2.1601556264886796,1.569030599960403,1.4390323528319136,1.3850619567237756,1.6487421212912141,1.5271233676238596,1.580418860164775,1.4881382135160985,1.5536917197871494,1.4925150558745164
21,2530.1666666666665,-9.231075676143215,2.163223047662622,1.5693660864820205,1.4411174792531063,1.385748233394094,1.6029599013297104,1.5284579509877803,1.5805659457211876,1.5074563522223936,1.5529437817775702,1.492461403615987
22,2625.1666666666665,-9.23182294768305,2.157872191978619,1.5685573834877757,1.4411165853378916,1.3863635785941328,1.6034421276977373,1.5287603477529499,1.5806325726935475,1.507539797053748,1.5528963985029145,1.4919933069612938
23,2720.1666666666665,-9.244375299224734,2.1561994487287275,1.567978592901842,1.4399130268785838,1.386505943213062,1.603560029275471,1.5489532496858365,1.5665781007534627,1.5062308914395763,1.5529259494849532,1.4918867846216908
24,2906.5333333333333,-9.293969920537508,2.1875526486327,1.5707289642051685,1.4433340539948432,1.3863895563952129,1.6032505842213753,1.5266589225495542,1.5673342275621296,1.5254531200851515,1.5535553302527922,1.4923549655559623
25,3053.5,-9.324075009292866,2.186356591553498,1.5706381533020581,1.4439561225490478,1.3856486849548935,1.5859466082003715,1.5498754367574985,1.5657569885119884,1.515186310526991,1.5542994525049707,1.494026624408699
26,3148.5,-9.327774893700484,2.189024578467363,1.5703817256143418,1.4430153995059893,1.411638276950767,1.602728512326209,1.550391020837651,1.5660414565204144,1.5339847110145548,1.554294667385587,1.4927172062217893
27,3243.5,-9.331150692118763,2.188376538791315,1.5700598099989975,1.4435638389738563,1.411727748299745,1.6025035873244216,1.5494048327109178,1.5660477367040655,1.5343162392134195,1.554438841441711,1.4931916433877577
28,3338.5,-9.33589320466325,2.1889185185981033,1.5700381558212266,1.4435355291670442,1.4129946286415442,1.6028877833277095,1.549336584211239,1.5662726886916876,1.5342840915938973,1.5718083436782702,1.4931587868584442
29,3509.866666666667,-9.344408628263986,2.1902958146424596,1.5727045849057149,1.442131751934918,1.4126793598523961,1.5855670030590003,1.5491526558486752,1.5674776302316544,1.5341629873341835,1.561635366493744,1.5096272312721724
30,3655.0,-9.375474425368532,2.18799968501107,1.5700942820353068,1.4418131964512078,1.4125206358095497,1.5854348511358713,1.5496150246310734,1.5663456339854769,1.553403195980347,1.5615168023058097,1.5101484829536964
31,3750.0,-9.375474425368532,2.18799968501107,1.5700942820353068,1.4418131964512078,1.4125206358095497,1.5854348511358713,1.5496150246310734,1.5663456339854769,1.553403195980347,1.5615168023058097,1.5101484829536964
32,3845.0,-9.375474425368532,2.18799968501107,1.5700942820353068,1.4418131964512078,1.4125206358095497,1.5854348511358713,1.5496150246310734,1.5663456339854769,1.553403195980347,1.5615168023058097,1.5101484829536964
33,3940.0,-9.375474425368532,2.18799968501107,1.5700942820353068,1.4418131964512078,1.4125206358095497,1.5854348511358713,1.5496150246310734,1.5663456339854769,1.553403195980347,1.5615168023058097,1.5101484829536964
34,4109.7,-9.378149941886445,2.185335503369471,1.5708095193312404,1.4423644844697983,1.412139167210499,1.5854402416567477,1.549610467140637,1.566250015454138,1.5534674757618736,1.5618001529961998,1.5101101738248275
35,4243.833333333333,-9.378151281137354,2.185333420051772,1.5708058975538988,1.442354201085411,1.4121296220775479,1.585438432247583,1.549624309080781,1.566249962070415,1.553470251003863,1.5617963986560741,1.510108991007642
36,4338.833333333333,-9.378151281137354,2.185333420051772,1.5708058975538988,1.442354201085411,1.4121296220775479,1.585438432247583,1.549624309080781,1.566249962070415,1.553470251003863,1.5617963986560741,1.510108991007642
37,4433.833333333333,-9.378151281137354,2.185333420051772,1.5708058975538988,1.442354201085411,1.4121296220775479,1.585438432247583,1.549624309080781,1.566249962070415,1.553470251003863,1.5617963986560741,1.510108991007642
38,4528.833333333333,-9.37855978735302,2.1853333962833,1.5708092429236415,1.4427408345095925,1.4119487109875593,1.5854307837619646,1.5496244964002,1.566198053656141,1.5534721097879753,1.5618030656191701,1.531542817196026
39,4664.033333333334,-9.378559967663447,2.1853140133098137,1.57079961243008,1.4427397979570713,1.4119477728669705,1.5854322555408868,1.5496223752911502,1.5661968289267698,1.553471534104119,1.5618038926445414,1.531542853185592
40,4794.866666666667,-9.378824866470149,2.1853141813575134,1.5707980414347762,1.4424733122436348,1.4120970359815386,1.5854475433590356,1.5496222823651096,1.566273412488907,1.5534697822719314,1.561791116120745,1.5314767533791611
41,4889.866666666667,-9.378824866470149,2.1853141813575134,1.5707980414347762,1.4424733122436348,1.4120970359815386,1.5854475433590356,1.5496222823651096,1.566273412488907,1.5534697822719314,1.561791116120745,1.5314767533791611
42,4984.866666666667,-9.378824866470149,2.1853141813575134,1.5707980414347762,1.4424733122436348,1.4120970359815386,1.5854475433590356,1.5496222823651096,1.566273412488907,1.5534697822719314,1.561791116120745,1.5314767533791611
43,5079.866666666667,-9.378824866470149,2.1853141813575134,1.5707980414347762,1.4424733122436348,1.4120970359815386,1.5854475433590356,1.5496222823651096,1.566273412488907,1.5534697822719314,1.561791116120745,1.5314767533791611
44,5212.9,-9.37884558833249,2.185314425295892,1.5707966332641037,1.4423532649103783,1.4121290307401424,1.5854395894284392,1.5496224442396125,1.5662486380916625,1.5534697507732933,1.5617972287422797,1.5314769928371694
45,5341.9,-9.378845589800582,2.185314788956623,1.5707966222606689,1.4423532700085455,1.4121292043281921,1.5854395871202664,1.5496224646597152,1.5662485958878956,1.553469914999785,1.561797195834823,1.5314767499719748
46,5436.9,-9.379077305203802,2.185314692117913,1.5695062114866976,1.4423534202912875,1.4121734886210782,1.5853880925866501,1.5495725395062645,1.566248615651916,1.553469149472908,1.5617910950406402,1.5219793825258416
47,5531.9,-9.379077305203802,2.185314692117913,1.5695062114866976,1.4423534202912875,1.4121734886210782,1.5853880925866501,1.5495725395062645,1.566248615651916,1.553469149472908,1.5617910950406402,1.5219793825258416
