model,mae_mean,rmse_mean,r2_mean,n_seeds
kriging,0.008679550884880958,0.015311786465786353,0.7104438072899034,3
rbf,0.007110953555360858,0.011968407876147455,0.8225356474085567,3
polynomial,0.01131295857891604,0.015065398034241997,0.7199684858298475,3
mlp64,0.007448506027657925,0.00982575655943913,0.8811234546968433,3
