problem,model_type,seed,sample_count,x1,x2,f_real,g_real,feasible_real
QuickSimu2,kan_gp,2026,400,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan_gp,2027,400,0.2000001958364866,0.2,0.05600002937547299,5.705792846163938e-07,False
QuickSimu2,kan_gp,2028,400,0.2,0.2000000009869506,0.05600000002960853,5.727014461107709e-07,False
QuickSimu2,kriging,2026,500,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kriging,2027,500,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kriging,2028,500,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,rbf,2026,500,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,rbf,2027,500,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,rbf,2028,500,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,polynomial,2026,500,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,polynomial,2027,500,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,polynomial,2028,500,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan,2026,500,0.2,0.20000000000000004,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan,2027,500,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan,2028,500,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan_gp,2026,500,0.20000003706522065,0.2,0.05600000555978311,5.695602639902156e-07,False
QuickSimu2,kan_gp,2027,500,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan_gp,2028,500,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kriging,2026,600,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kriging,2027,600,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kriging,2028,600,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,rbf,2026,600,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,rbf,2027,600,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,rbf,2028,600,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,polynomial,2026,600,0.2,0.20000000000000004,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,polynomial,2027,600,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,polynomial,2028,600,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan,2026,600,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan,2027,600,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan,2028,600,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan_gp,2026,600,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
QuickSimu2,kan_gp,2027,600,0.2,0.2,0.05600000000000001,5.726511139803128e-07,False
