problem,model,target,mae_mean,rmse_mean,r2_mean,n_seeds
quick_simu_2,kriging,volume,1.7615349347806536e-06,3.457491846482467e-06,0.9999999826243219,3
quick_simu_2,kriging,max_disp,3.76223012276562e-08,4.488714660376839e-08,0.834564431070813,3
quick_simu_2,rbf,volume,9.71445146547012e-17,1.59192851550954e-16,1.0,3
quick_simu_2,rbf,max_disp,3.7474281995322154e-08,5.209795965286156e-08,0.7798938304244691,3
quick_simu_2,polynomial,volume,8.753029165673196e-17,8.926079833967409e-17,1.0,3
quick_simu_2,polynomial,max_disp,4.4142196786481e-08,5.8592492666950795e-08,0.7208553935582372,3
quick_simu_2,mlp64,volume,0.0020626933769818247,0.002726817248221148,0.9892934616593075,3
quick_simu_2,mlp64,max_disp,0.0013101191489645928,0.001683477352705064,-238077709.56223604,3
