model_type,sample_count,x1_mean,x2_mean,x3_mean,f_real_mean,g_real_mean,feasible_rate,n_seeds
kan_gp,500,1.236298648725401,0.01,0.01,0.0013631850666666666,0.17896272146468506,0.0,3
kan_gp,600,1.1234977559881083,0.010000037207010455,0.01,0.0013688333566666665,0.16673590675180217,0.0,3
kan_gp,700,0.6873906943576573,0.01,0.01000000000493071,0.0013906304666666666,0.14688911188169226,0.0,3
kan_gp,800,1.1666468523247402,0.010000009502294155,0.01,0.0013666697733333334,0.18719910685110874,0.0,3
kan_gp,900,0.9983165116771376,0.01,0.01,0.0013750841766666667,0.16359031448840516,0.0,3
kan_gp,1000,1.0748871371781739,0.01,0.01,0.0013712556433333335,0.1818439205636436,0.0,3
kan_gp,1100,0.8928512459819401,0.01,0.01,0.0013803574399999998,0.16441979808969062,0.0,3
kan_gp,1200,1.1214983685165043,0.01,0.01,0.0013689250833333333,0.1661463026517566,0.0,3
kan_gp,1300,0.9116729025254386,0.010000015271345265,0.010000046221880011,0.00137942293,0.13989217388892675,0.0,3
kan_gp,1400,1.213075961031783,0.010000000004106896,0.010000003024790207,0.0013643464266666668,0.15158063403244315,0.0,3
kan_gp,1500,0.862284738574629,0.01,0.01,0.0013818857633333334,0.1491976297662221,0.0,3
kriging,100,1.095207022495458,0.01,0.010000000554721354,0.0013702396833333334,0.14707738877251078,0.0,3
kriging,200,0.9564406010633301,0.012957579242817338,0.010007649751668719,0.0021864592833333333,0.11539046183452749,0.0,3
kriging,300,1.1918974366594217,0.01,0.01,0.0013654051266666668,0.1868525004642506,0.0,3
kriging,400,1.4823483643981328,0.01,0.01,0.00135088258,0.17815997587953522,0.0,3
kriging,500,0.729329195274348,0.01,0.01,0.0013885335400000002,0.16977914735214125,0.0,3
kriging,600,0.9203722470376267,0.01,0.010000000301387235,0.0013789814166666667,0.1561926225400229,0.0,3
kriging,700,0.9826764635120157,0.01,0.010000000000000002,0.0013758661766666667,0.17809491933516433,0.0,3
kriging,800,0.8169693155747245,0.01,0.01,0.0013841515333333334,0.17420944377684902,0.0,3
kriging,900,0.7966064178923018,0.010000000193586399,0.010000090044046185,0.0013851763266666667,0.11905101168853767,0.0,3
kriging,1000,1.187507742787952,0.01,0.01,0.0013656246133333333,0.1641553085591492,0.0,3
kriging,1100,0.7493938118444867,0.01,0.01,0.0013875303066666668,0.17290278023169856,0.0,3
kriging,1200,0.7459817554747072,0.01,0.01,0.0013877009133333336,0.16436777522568216,0.0,3
kriging,1300,1.2575580875648866,0.01,0.01,0.0013621220966666665,0.1685462457403719,0.0,3
kriging,1400,1.1883075856262888,0.01,0.01,0.0013655846199999999,0.1631807183323428,0.0,3
kriging,1500,1.4585031083834619,0.01,0.01,0.0013520748466666667,0.1792709176774375,0.0,3
polynomial,100,1.599824724908143,0.01,0.07426066665120651,0.003643706303333333,0.08672630849000888,0.0,3
polynomial,200,1.5995266138122066,0.01,0.0750489090552347,0.0036730628733333335,0.11030216967916824,0.0,3
polynomial,300,1.6000000000000003,0.01,0.08,0.003809,0.08852864243313892,0.0,3
polynomial,400,1.6000000000000003,0.01,0.08,0.003809,0.08852864243313892,0.0,3
polynomial,500,1.5997020218577216,0.01,0.07683965331899952,0.0037214433366666664,0.09887603789284478,0.0,3
polynomial,600,1.5951647328133192,0.010015927884222472,0.08,0.00383031982,0.08659398780379181,0.0,3
polynomial,700,1.5985626312047518,0.01,0.07945613187617671,0.00379832054,0.08769013384960848,0.0,3
polynomial,800,1.6000000000000003,0.01,0.08,0.003809,0.08852864243313892,0.0,3
polynomial,900,1.6000000000000003,0.01,0.08,0.003809,0.08852864243313892,0.0,3
polynomial,1000,1.6000000000000003,0.01,0.08,0.003809,0.08852864243313892,0.0,3
polynomial,1100,1.6000000000000003,0.01,0.08,0.003809,0.08852864243313892,0.0,3
polynomial,1200,1.6000000000000003,0.01,0.08,0.003809,0.08852864243313892,0.0,3
polynomial,1300,1.5999997346258432,0.010049887003664685,0.07840813390405071,0.0037882513,0.09722213243699007,0.0,3
polynomial,1400,1.6000000000000003,0.010019852461086616,0.07402642117895342,0.00364435906,0.08622074940532361,0.0,3
polynomial,1500,1.6000000000000003,0.01,0.08,0.003809,0.08852864243313892,0.0,3
rbf,100,0.872832204176853,0.01,0.01,0.00138135839,0.1721741254303073,0.0,3
rbf,200,0.8439903452728669,0.01,0.01,0.0013828004833333334,0.18067660004975097,0.0,3
rbf,300,0.932277998185015,0.01,0.01,0.0013783861000000001,0.17621692492741955,0.0,3
rbf,400,1.060887848055771,0.01,0.01,0.0013719556066666666,0.16012809321567686,0.0,3
rbf,500,0.791213978046323,0.01,0.01,0.0013854393033333335,0.16480916639401316,0.0,3
rbf,600,0.8121335735030332,0.01,0.01,0.00138439332,0.15807928042844918,0.0,3
rbf,700,0.8546667148113588,0.01,0.010000000179704935,0.0013822666800000002,0.13521076090714373,0.0,3
rbf,800,0.6666166890544295,0.01,0.01,0.0013916691633333335,0.16556239521872812,0.0,3
rbf,900,1.0780848956843807,0.01,0.01,0.0013710957566666667,0.15711089135482165,0.0,3
rbf,1000,0.8691129069672242,0.01000363392687262,0.010000000019826398,0.0013823157933333333,0.15679137953880318,0.0,3
rbf,1100,0.4564875766853194,0.01,0.01,0.0014021756200000002,0.1819994922581921,0.0,3
rbf,1200,0.6422431873891248,0.01,0.01,0.00139288784,0.16701506149221737,0.0,3
rbf,1300,0.9279481029192401,0.01,0.01,0.0013786025933333335,0.16021220935550565,0.0,3
rbf,1400,1.0600777714503988,0.0100001421837441,0.010000002100430479,0.0013720263866666667,0.15162526813164445,0.0,3
rbf,1500,0.4000000000000001,0.01,0.01,0.001405,0.1918458280602029,0.0,3
