problem,model_type,seed,sample_count,x1,x2,x3,f_real,g_real,feasible_real
QuickSimu1,kan,2026,400,0.8809786602701014,0.01,0.01,0.00138095107,0.14976750038322617,False
QuickSimu1,kan,2027,400,1.6,0.01,0.010000020941745208,0.00134500091,0.13357026054188037,False
QuickSimu1,kan,2028,400,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,kan_gp,2026,400,0.8136528291193071,0.01,0.01,0.00138431736,0.14853266616878058,False
QuickSimu1,kan_gp,2027,400,0.42184981077524086,0.01,0.01,0.00140390751,0.1839473464336553,False
QuickSimu1,kan_gp,2028,400,0.6438392225258246,0.01,0.010000073521329879,0.00139281406,0.0997122466805248,False
QuickSimu1,kriging,2026,500,0.6363114679073832,0.01,0.01,0.00139318443,0.1527546027407362,False
QuickSimu1,kriging,2027,500,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,kriging,2028,500,1.1516761179156607,0.01,0.01,0.00136741619,0.16473701125548462,False
QuickSimu1,rbf,2026,500,0.47150822153479555,0.01,0.01,0.00140142459,0.17664571488670572,False
QuickSimu1,rbf,2027,500,0.7752774595393596,0.01,0.01,0.00138623613,0.1508904157481104,False
QuickSimu1,rbf,2028,500,1.126856253064814,0.01,0.01,0.00136865719,0.16689136854722336,False
QuickSimu1,polynomial,2026,500,1.599106065573164,0.01,0.07051895995699857,0.00354633001,0.11957082881225646,False
QuickSimu1,polynomial,2027,500,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,polynomial,2028,500,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,kan,2026,500,0.4186110191630851,0.01,0.01033293775531272,0.00143430539,0.11333150411072944,False
QuickSimu1,kan,2027,500,0.4,0.01,0.010000001447697391,0.00140500013,0.1194220210389997,False
QuickSimu1,kan,2028,500,0.4000000825813022,0.01,0.010000000000000002,0.001405,0.19166093245531102,False
QuickSimu1,kan_gp,2026,500,1.560555911195034,0.01,0.01,0.0013469722,0.18467006718234774,False
QuickSimu1,kan_gp,2027,500,0.5483400560414072,0.01,0.01,0.001397583,0.16570168406007985,False
QuickSimu1,kan_gp,2028,500,1.5999999789397623,0.01,0.01,0.001345,0.1865164131516276,False
QuickSimu1,kriging,2026,600,1.5740858768620456,0.01,0.01,0.00134629571,0.18511094286685043,False
QuickSimu1,kriging,2027,600,0.7779120145597453,0.01,0.01,0.0013861044,0.15219870347676084,False
QuickSimu1,kriging,2028,600,0.4091188496910889,0.01,0.010000000904161704,0.00140454414,0.13126822127645743,False
QuickSimu1,rbf,2026,600,0.640825308187778,0.01,0.01,0.00139295873,0.15455278168022946,False
QuickSimu1,rbf,2027,600,0.6691986691540022,0.01,0.01,0.00139154007,0.15425046481454513,False
QuickSimu1,rbf,2028,600,1.1263767431673195,0.01,0.01,0.00136868116,0.16543459479057293,False
QuickSimu1,polynomial,2026,600,1.585494198439958,0.010047783652667414,0.08,0.00387295946,0.08272467854509757,False
QuickSimu1,polynomial,2027,600,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,polynomial,2028,600,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,kan,2026,600,0.7062665659337836,0.01,0.01,0.00138968667,0.15206358173233137,False
QuickSimu1,kan,2027,600,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,kan,2028,600,1.455678535504579,0.01,0.01,0.00135221607,0.18057461270573516,False
QuickSimu1,kan_gp,2026,600,1.0405388791986154,0.01,0.01,0.00137297306,0.16087821721494988,False
QuickSimu1,kan_gp,2027,600,1.5531631579550762,0.010000111621031364,0.01,0.00134736657,0.18994843068738265,False
QuickSimu1,kan_gp,2028,600,0.7767912308106333,0.01,0.01,0.00138616044,0.14938107235307402,False
QuickSimu1,kriging,2026,700,1.5772899574166805,0.01,0.01,0.0013461355,0.1857113126429064,False
QuickSimu1,kriging,2027,700,0.4,0.01,0.010000000000000004,0.001405,0.19402402379883377,False
QuickSimu1,kriging,2028,700,0.9707394331193668,0.01,0.01,0.00137646303,0.1545494215637529,False
QuickSimu1,rbf,2026,700,0.9249754194288967,0.01,0.01,0.00137875123,0.1508087769385298,False
QuickSimu1,rbf,2027,700,0.6729603590678618,0.01,0.010000000539114809,0.00139135203,0.10070460339881397,False
QuickSimu1,rbf,2028,700,0.9660643659373177,0.01,0.01,0.00137669678,0.15411890238408743,False
QuickSimu1,polynomial,2026,700,1.5956878936142551,0.01,0.07836839562853011,0.00377696162,0.08601311668254755,False
QuickSimu1,polynomial,2027,700,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,polynomial,2028,700,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,kan,2026,700,0.9785069708202129,0.01,0.01,0.00137607465,0.15192100007928971,False
QuickSimu1,kan,2027,700,0.4000000845655062,0.01,0.01,0.001405,0.1904044158995179,False
QuickSimu1,kan,2028,700,0.46564829242118816,0.010000000569910787,0.01000000004444242,0.0014017177,0.12558902572500874,False
QuickSimu1,kan_gp,2026,700,0.7484294967692889,0.01,0.01,0.00138757853,0.14836977376364713,False
QuickSimu1,kan_gp,2027,700,0.9137425863036832,0.01,0.010000000014792128,0.00137931287,0.10045173382122673,False
QuickSimu1,kan_gp,2028,700,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,kriging,2026,800,0.6347855027595312,0.01,0.01,0.00139326072,0.15511530954856,False
QuickSimu1,kriging,2027,800,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,kriging,2028,800,1.4161224439646423,0.01,0.01,0.00135419388,0.1756671937217842,False
