model_type,sample_count,x1_mean,x2_mean,f_real_mean,g_real_mean,feasible_rate,n_seeds
kan,100,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kan,200,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726396258053886e-07,0.0,3
kan,300,0.2000000217886246,0.20000000000000004,0.056000003268293706,5.694526415731192e-07,0.0,3
kan,400,0.20000000000000004,0.2000000407533721,0.056000001222601174,5.727002039918357e-07,0.0,3
kan,500,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kan,600,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kan,700,0.20000000000000004,0.20000001810924753,0.05600000054327744,5.720065967883457e-07,0.0,3
kan,800,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kan,900,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kan,1000,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kan,1100,0.20000000000000004,0.20000000626052236,0.05600000018781568,5.726530919767365e-07,0.0,3
kan,1200,0.20000000000000004,0.20000001091875438,0.05600000032756264,5.724700146910538e-07,0.0,3
kan,1300,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kan,1400,0.20000002532740502,0.20000000000000004,0.05600000379911076,5.694526057002831e-07,0.0,3
kan,1500,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kan_gp,100,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kan_gp,200,0.20000000000000004,0.20000001022157243,0.05600000030664718,5.724700148387461e-07,0.0,3
kan_gp,300,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kan_gp,400,0.20000006527882888,0.20000000032898355,0.05600000980169384,5.719772815691592e-07,0.0,3
kan_gp,500,0.2000000123550736,0.20000000000000004,0.05600000185326104,5.716208306502803e-07,0.0,3
kan_gp,600,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kan_gp,700,0.20000006767697176,0.20000000000000004,0.05600001015154577,5.699219810219262e-07,0.0,3
kan_gp,800,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kan_gp,900,0.20000000000000004,0.21999900342889092,0.056599970102866735,4.991697031237274e-07,0.0,3
kan_gp,1000,0.20000000000000004,0.20000002143606724,0.056000000643082026,5.720065958469338e-07,0.0,3
kan_gp,1100,0.20000000000000004,0.21147574108903955,0.056344272232671196,4.994137437414962e-07,0.0,3
kan_gp,1200,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.695054336391673e-07,0.0,3
kan_gp,1300,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kan_gp,1400,0.20000014240893704,0.20000002267907954,0.05600002204171295,5.708652999653552e-07,0.0,3
kan_gp,1500,0.20000000572031296,0.20000000000000004,0.056000000858046954,5.710147559539956e-07,0.0,3
kriging,100,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kriging,200,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kriging,300,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kriging,400,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kriging,500,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kriging,600,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kriging,700,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kriging,800,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kriging,900,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kriging,1000,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kriging,1100,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kriging,1200,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kriging,1300,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kriging,1400,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
kriging,1500,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
polynomial,100,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
polynomial,200,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
polynomial,300,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
polynomial,400,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
polynomial,500,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
polynomial,600,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
polynomial,700,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
polynomial,800,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.695054336391673e-07,0.0,3
polynomial,900,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
polynomial,1000,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
polynomial,1100,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
polynomial,1200,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.695054336391673e-07,0.0,3
polynomial,1300,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
polynomial,1400,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
polynomial,1500,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
rbf,100,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
rbf,200,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
rbf,300,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
rbf,400,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
rbf,500,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
rbf,600,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
rbf,700,0.20000000000000004,0.20000000000000004,0.056000000000000015,5.726511139803128e-07,0.0,3
