seed,model,mae,rmse,r2
2026,kriging,0.009251410805706696,0.016866957700913895,0.6848802614270321
2026,rbf,0.007113209472967427,0.011838640457457682,0.8447592407383897
2026,polynomial,0.011962796286724474,0.01572017967285504,0.7262733345528233
2026,mlp64,0.008950814824076657,0.011463889797633698,0.8544319377163533
2027,kriging,0.008698795823624171,0.01469659905999163,0.6899054023713123
2027,rbf,0.007204120992793911,0.01177808963129833,0.8008362854728179
2027,polynomial,0.011267389448642895,0.014524901199635974,0.6971086426203038
2027,mlp64,0.006701189140724792,0.008749717708947278,0.890087119176148
2028,kriging,0.008088446025312005,0.014371802636453532,0.7565457580713658
2028,rbf,0.007015530200321233,0.012288493539686356,0.8220114160144621
2028,polynomial,0.010708690001380755,0.014951113230234974,0.7365234803164153
2028,mlp64,0.006693514118172329,0.009263662171736412,0.8988513071980284
