iter,x1,x2,x3,f_real,acq_max,note
0,0.4668534799977595,0.011611257065230198,0.03418553791683676,0.005605097248283493,nan,init
1,0.4966342254821542,0.01,0.08,0.008464003256735127,0.0015016005479238023,
2,0.40178913863349563,0.05260525818333051,0.060687470416113345,0.0393462284,0.0013795293989612815,
3,0.5076984817854523,0.01,0.04007118753944486,0.004912299678272326,0.0013881761578854756,
4,0.5560738959107551,0.02585552926138997,0.0784925301257059,0.0193145873,0.0009084658656698338,
5,0.8641598913651214,0.011053639087683415,0.024153443981223342,0.0033482606390168963,0.0007828693895700306,
6,0.8662700946576459,0.062458443159146886,0.010009770500779593,0.0269496855,0.0007874170823266723,
7,0.7381381041560134,0.04502267883020995,0.060291926627876066,0.0310259338,0.0003160736868798742,
8,0.8574309234914853,0.010002497450260255,0.07898097619453219,0.007975443564061931,0.0007941188006716795,
9,0.49465020082418365,0.01,0.01,0.003797891144641375,0.0004825764491094382,
10,1.2861436493786111,0.010683530545267642,0.07987240419289633,0.007788117710662443,0.00044557035503760343,
11,1.4552792290702388,0.01020140026700919,0.05938286906626441,0.007417179320865016,0.00037443817824324346,
12,1.4378998595564234,0.01,0.01,0.0037352895776434194,0.00044250054593981264,
13,1.370046740258471,0.01,0.01,0.0037023964278433885,0.000497705527411545,
