iter,x1,x2,x3,f_real,acq_max,note
0,1.1888201956207074,0.02404028946191542,0.01910536403775765,0.00700975996,nan,init
1,1.240777225017788,0.03421696468139049,0.011660265126730643,0.0110142317,0.0013435192894863742,
2,1.0257376983444642,0.05273868778001341,0.06113706681612507,0.0376858156,0.00031145298690926203,
3,1.5014903511159143,0.01,0.010003496754266816,0.0031190829370596074,0.0009771670196645804,
4,1.5249631480491566,0.06810165416061055,0.01,0.0401356554,0.00048670698481075806,
5,1.2038198923604055,0.01014643356836481,0.0755313366459005,0.009035973542163296,0.0004847629067736281,
6,1.2124054241026192,0.0778539092691625,0.06538917241756577,0.0681158375,0.0003639247869885304,
7,1.4938601275121512,0.01,0.04459714958349949,0.0047828042012566735,0.001176622324162619,
8,0.7381381041560134,0.04502267883020995,0.060291926627876066,0.0310259338,0.0003145607734376418,
9,0.8934234650029318,0.01,0.01,0.003465637837534695,0.0004136421819280903,
10,0.9329041199043441,0.01,0.024457872388988878,0.0032304478885885127,0.0005164749520342573,
11,0.9012755303565262,0.05856273039584819,0.01,0.02537281889185458,0.0005493961604815013,
