iter,x1,x2,x3,f_real,acq_max,note
0,1.152410730319516,0.012635205272230325,0.05993337298252264,0.007818311232729191,nan,init
0,1.152410730319516,0.012635205272230325,0.05993337298252264,0.007818311232729191,nan,init
1,0.8575962240327487,0.0467191132483033,0.02946430783781247,0.0227984279,0.00013250805009813705,
2,0.7045299073907973,0.036617367644134716,0.066612896029477,0.0253683107,0.00011406569850583889,
3,1.0257376983444642,0.05273868778001341,0.06113706681612507,0.0376858156,9.444397504559888e-05,
4,0.856595270962992,0.06851284566357727,0.04560874812101327,0.0482769903,7.788320387480365e-05,
5,0.9045756474453807,0.055430052543352995,0.059167841313072636,0.0401482237,7.929325270236698e-05,
6,0.6926297536528456,0.03502959878776627,0.07545490460019463,0.0260691654,6.687046072816158e-05,
7,1.161895697775261,0.020713825666908714,0.04494508113002178,0.00854290632,0.0002086462028361997,
8,0.6145007058704148,0.019506060597748013,0.013588575798535249,0.004831577545421097,0.00021792471197029238,
9,0.7381381041560134,0.04502267883020995,0.060291926627876066,0.0310259338,6.901960277798277e-05,
10,0.9909562228986507,0.01,0.05736508119478935,0.0075690156786203475,0.00024073069804173518,
11,0.6206918326742096,0.05168457875991861,0.011738358775811437,0.019141270178405997,0.00023589758396144213,
12,1.0079840150366148,0.010000000373563847,0.024515095177592126,0.003357399495154449,0.00023537829433021543,
13,1.4552792290702388,0.01020140026700919,0.05938286906626441,0.007417179320865016,7.50209485275894e-05,
14,1.4214025825319758,0.01005660974683136,0.07985895805581905,0.008068017500086743,0.0002201524811035198,
15,1.4957480183519538,0.028038424051683518,0.08,0.0156807574,0.00017105071679354039,
16,0.7786612790570797,0.027982397332092145,0.06415053215424008,0.017362693,9.804025455934027e-05,
17,1.377904056964412,0.07062037660587965,0.011014168149346068,0.0410946914,9.286499643601628e-05,
18,0.8226561334733989,0.01,0.017600432903522745,0.0035125464521248563,0.0002422467798145957,
19,0.8643931561162204,0.010003868044521292,0.01002877407777605,0.0027809479615716268,0.0002889531074425583,
20,0.6149882808141225,0.01,0.05576390460712931,0.007454685993836347,0.00014471579739661132,
21,0.4,0.01,0.08,0.009009244684633386,0.00012154973579466552,
22,0.40886255431999935,0.05460449889076399,0.0665546094188051,0.0437160403,0.00013488161625922887,
23,0.8282308197191484,0.01,0.05964793738962345,0.007790614264438034,0.00018922273182981806,
24,1.5062612250566827,0.010007022748437894,0.010196265018890963,0.003151712969821281,0.00011948655122987102,
25,1.1919088135114955,0.010000517803254016,0.07950796569890647,0.008018513992233054,0.00013972315977541926,
26,0.94733769753388,0.01,0.01,0.003459091238928165,0.0003115817304527831,
27,1.5153846030057485,0.0718081560207867,0.01,0.0440427587,0.00013790806977307226,
