Problem,Algorithm,IGD_mean,IGD_std,FEs_mean,FEs_std
ZDT1,NSGA-III,1.213407e-01,4.076756e-02,1500,0
ZDT1,HA-Full,6.041501e-02,4.936017e-02,1632,26
ZDT1,HA-NoLS,2.685264e-01,1.088364e-02,1500,0
ZDT1,HA-StdGA,5.590120e-02,1.873212e-02,1644,20
ZDT2,NSGA-III,2.848153e-01,5.255239e-02,1500,0
ZDT2,HA-Full,4.105129e-01,1.386126e-01,1572,13
ZDT2,HA-NoLS,6.679859e-01,3.597964e-02,1500,0
ZDT2,HA-StdGA,4.259948e-01,1.624932e-01,1580,11
ZDT3,NSGA-III,1.019998e-01,7.170739e-03,1500,0
ZDT3,HA-Full,2.311204e-01,1.405969e-01,1620,16
ZDT3,HA-NoLS,3.671547e-01,1.934793e-01,1500,0
ZDT3,HA-StdGA,7.202257e-02,2.190795e-02,1650,11
ZDT4,NSGA-III,1.536063e+01,2.276903e+00,1500,0
ZDT4,HA-Full,5.257010e+00,1.112885e+00,1569,7
ZDT4,HA-NoLS,5.257010e+00,1.112885e+00,1500,0
ZDT4,HA-StdGA,8.602247e+00,2.936014e+00,1600,2
ZDT6,NSGA-III,3.737581e+00,2.296554e-01,1500,0
ZDT6,HA-Full,1.924801e+00,2.482370e+00,1618,36
ZDT6,HA-NoLS,4.801283e+00,5.729549e-01,1500,0
ZDT6,HA-StdGA,8.815672e-02,4.642382e-02,1633,16
