iter,x1,x2,f_real,acq_max,note
0,0.35023270836208376,1.0331457984025467,0.10352928020638899,nan,init
1,0.2,0.8166175080142469,0.074498785850334,1.398482310958491e+24,
2,0.2,1.1061640990519712,0.08318526192443813,1.1443801871470085e+24,
3,0.868623074937635,0.4240197843890123,0.16301405477231568,1.0395654625169826e+24,
4,0.2,0.8887031357035026,0.07666144777605721,9.514278004553914e+23,
5,0.8750164697516519,0.42893919362993643,0.16412064627164594,8.906090802487292e+23,
6,1.0885056818802603,0.5984815177852273,0.20123029781559587,2.732184969119483e+24,
7,1.5453953496287256,1.188757025040388,1.0000000000001002e+25,6.65996896697615e+23,
8,1.151247400094947,0.36300044765157374,0.2035771234437893,1.0104936036638822e+24,
9,0.39438411766201253,0.672968700637962,0.09934667866844077,9.35524715874672e+23,
