iter,x1,x2,f_real,acq_max,note
0,0.2925861570287951,1.190650961917392,0.09960758194621745,nan,init
1,1.082919610557411,0.4937621594893097,0.19725080636829098,5.720766366835108e+23,
2,0.45190020856139756,1.2961351103981278,0.1266690845961535,1.9010417108347324e+24,
3,0.7489465860586032,0.6990260716355254,0.1533127700578563,1.3824296173550546e+24,
4,1.0986036411718938,0.20000616627258477,0.19079073116396164,1.2034175100185112e+24,
5,0.9092158563709407,0.5218639730891304,0.17203829764831505,9.527262852048233e+23,
6,0.47710653653997503,0.9516875746947367,0.12011660772183838,9.551801254981101e+23,
7,0.2,0.2,0.056000320684623836,9.148241333588475e+23,
8,1.5453953496287256,1.188757025040388,1.0000000000001002e+25,7.367106738707504e+23,
9,0.3870458758416332,1.3026886874499612,0.11713754199974384,8.246219294558763e+23,
10,1.1004595432739517,0.2017792954919416,0.19112231035585103,9.484441132619301e+23,
11,0.2,0.8177996640683906,0.07453425087370406,1.0121028837958487e+24,
12,0.2,0.46465504033184946,0.06393991273850187,9.24281554890342e+23,
13,0.9442626900180978,0.7958306978958902,0.1855143244395914,8.927911938310576e+23,
14,0.6772760971095738,0.4983295480417838,0.1365413010076896,6.456509053134112e+23,
15,0.39796140048116785,0.2,0.0856942100721752,6.292465979814122e+23,
