iter,x1,x2,f_real,acq_max,note
0,0.25148448242932375,0.635044171024049,0.07677419585201549,nan,init
1,1.0004750456551583,0.2,0.17607125815901709,1.4938326495858589e+24,
2,1.082919610557411,0.4937621594893097,0.19725080636829098,5.149546496203237e+23,
3,0.6759934785649443,0.9982103534879081,0.15134533238937892,2.158145369792685e+24,
4,1.1474036915307704,0.3283648006040236,0.2019614977477363,1.2112412907511206e+24,
5,0.6912952489334938,0.2,0.1296942873400241,8.704575296917823e+23,
6,0.2,0.2,0.056000320684623836,7.94957362296479e+23,
7,1.6,0.2,0.26600001112852034,7.457576952716384e+23,
8,0.7642139786355341,0.9983253039220846,0.1645818742417948,6.97624510100545e+23,
9,0.5865158766181169,0.2,0.11397738149271756,2.2290757896900065e+24,
10,0.6260411338371713,0.5143168426741321,0.12933567535579968,6.200951916891464e+23,
11,0.6912952540276904,0.20288330741145377,0.1297807873264972,9.45753226590335e+23,
12,0.2,0.4084461300781761,0.062253739464054283,5.838426068386029e+23,
13,0.2,0.9414625202395505,0.0782441487837053,5.142557089018085e+23,
14,0.33880811817163403,0.8468805773368395,0.0962276350458503,4.5466482883694435e+23,
